left context,original word,right context,word correction,hun correction 
und,Snoopy-Nachthemd,das,Snoopy-Nachthemd,Whoopy-Nachthemd
it,isnt't,Paradox,ist's,Isny
-,it,isnt't,it,IT
Knjas,Liebe/r,-,Liebe/r,Lieber
N,Knjas,Liebe/r,Kajas,Anjas
Fehler-,detailierten,möglichst,detaillierten,detaillierten
Problemdarstellung,bzw,Fehler-,bzw.,bzw.
at,foren@derstandard,an,foren@derstandard,Referendarsforen
cln,at,foren@derstandard,at,AT
-,cln,at,Clan,Clan
Hatte,wrong,-,wrong,wring
-,lol,bewertet,lol,los
car,grumpy,der,grumpy,grummel
Na,car,grumpy,car,rar
cat,grumpy,haha,grumpy,grummel
sorry,cat,grumpy,cat,tat
-,sorry,cat,sorry,Story
m,postet,die,postet,prostet
nicht,hör',ich,hör',hör
CityGirl,Hello,-,Hello,Holle
gratuliere,CityGirl,Hello,City Girl,City Girl
hurrah,Hurrahh,Dreifaches,Hurra,Hurra
hurrah,hurrah,Hurrahh,hurrah,hurra
-,hurrah,hurrah,hurrah,hurra
aber,Studiensemesteranfang,leicht,Studiensemesteranfang,Semesteranfangsparty
in,händisch,noch,hündisch,händisch
waren,getackert,Institutstüren,getickert,getackert
lieber,nix,wieder,nix,Unix
Die,DZE,lieber,DZE,DE
für,zuviel,derzeit,Zuviel,Zuviel
wohl,gibt's,Die,gibt's,gibt
-,bildungsferneschicht,von,bildungsferneschicht,bildungsgeschichtlich
die,nachportier,als,nachportier,Sachportier
kein,nacht,ganze,Nacht,Nacht
zu,auge,kein,Auge,Auge
DZE,hahaha,-,hahaha,Hannah
geärgert,DZE,hahaha,DZE,DE
-,check,-,check,keck
für,Prinzessinnenzimmer,geschmackloses,Prinzessinnenzimmer,Prinzessinnen zimmer
beinahe,Pipapo,allem,Pipapo,Papi
des,Gratiscomedy,die,Gratiscomedy,Gratisnummer
sind,würstchen,deren,Würstchen,Würstchen
im,müsli,ist,Müsli,Müsli
selber,wills,ich,wills,will
die,usw,zusammenmischen,usw.,usw.
Hotel,stinkleeren,im,stinkleeren,Stinktieren
-,gehaßt,dafür,gehasst,gehasst
alle,Blitzbesuff,essen,Blitzbesuff,Blitzblau
sowie,dauerblau,und,dauerblau,Lautdauer
wir,daß,herauskommt,dass,dass
Einheimische,hiersein,nicht,hier sein,Hiersein
10,la,à,la,al
Ansprachen,grusligste,Tritt,grusligste,gruslige
girls,white,wir,white,weite
alles,girls,white,girls,Girls
politische,grusligere,noch,grusligere,grusliger
halb,daß,heraus,dass,dass
am,Miefquirl,klar,Miefquirl,Mietquirl
Einbau,danieldüsentriebartigem,dank,danieldüsentriebartigem,zwiebelschalenartigem
und,Einschweißung,zu,Ein Schweißung,Einschweißung
der,Horizontalgymnastik,Sekunde,Horizontalgymnastik,Horizontaltgymnastik
-,Inschallah,Reparatur,Inschallah,Infraschall
etwas,hotels,des,hotels,Hotels
hatte,hotelrestaurant,im,Hotel Restaurant,Hotelrestaurant
plastik,stück,längeres,stück,Stück
im,plastik,stück,Plastik,Plastik
beim,reis,im,reis,Reis
reklamiert,kellner,beim,Kellner,kellnre
er,reaktion,reklamiert,Reaktion,Reaktion
mit,hats,er,hats,hast
rausgezogen,findern,den,Findern,Findern
und,rausgezogen,findern,rausgezogen,ausgezogen
gewunschen,appetit,guten,Appetit,Appetit
ich,gewunschen,appetit,gewünschten,Segenswunsch
leider,wußte,ich,wusste,wusste
auf,scherzkeks,was,scherz Keks,Scherzens
sind,humorbefreit,so,humorbefreit,humorfrei
und,Followern,deinen,Volleren,Folterern
von,Grüns,Die,Grüns,Grüna
bedeuten,MitposterInnen,meinen,MitposterInnen,Mitosterpinnen
die,btw,so,btw,BTX
ganz,*ein,Premiere,*ein,ein
*,watschel,weiter,watscheln,watschle
-,ausgewatschelt,Mal,ausgewatschelt,aus gewatschelt
schlägt,Posterherz,mein,Poster herz,Polsterherz
aber,Perry,Poster,Perry,Jerry
nicht,psss,aber,pass,pass
wegen,wuren,Sie,wurden,euren
Richtlinien,Community,die,Community,Kommunität
-,bum,na,bum,um
auf,Tsts,-,Tests,Tests
-,draufkommt,so,draufkommt,drauf kommt
-,*äugt*,-,*äugt*,geäugt
-,*schmelz*,-,Schmelz,Schmelz
[504],Locherlschwager,ihr,Locherlschwager,Locheilschwager
Bin,Swingerclub,und,Swinger Club,Swingerclub
-,OK,das,OK,LOK
-,horror,ein,horror,Horror
10,ca,vor,ca,ca.
kommen,Ferry,Bryan,Ferry,Jerry
hinter,Padrone,Der,Padrone,Patrone
Lächeln,launigsten,seinem,launigsten,launischsten
davor,Ferry,zwischen,Ferry,Jerry
als,90ern,den,90ern,Lernern
ueber,Empoerung,seiner,Empörung,Empörung
die,ueber,Empoerung,über,über
und,empoert,waren,empört,empört
Andere,rauschschmeissen,ihn,rausschmeißen,Rausschmissen
weil,amuesiert,Andere,amüsiert,amüsiert
nicht,aehem,angeblich,ehem.,ehemals
Bettwanzen,2x,-,2x,ex
Skorpion,2x,Bettwanzen,2x,ex
Hört,XJam,-,Jam,Jamme
2004,Maturareise,meiner,Maturareise,Matura reise
Gepäck,inkl,Mann,inkl.,inkl.
30,ca,auf,ca,ca.
Da,m²,30,m²,ms
und,Entspannungstäbchen,nur,Entspannung Stäbchen,Entspannungsstäbchen
mit,Kombipaket,im,Kombipaket,Kombihacke
laotisches,gibts,da,gibst,gibst
in,Dimitrow-Mausoleum,das,Dimitrow-Mausoleum,Dimitri-Mausoleum
am,Partezettel,den,Parte Zettel,Parteizettel
und,Mann/Vater,der,Mann/Vater,Mannhafter
Pokhara,Nepal-,-,Nepal-,Nepal
-von,Pokhara,Nepal-,Pok Hara,Pharao
Maoisten,-von,Pokhara,-von,-bon
auch,Opatija,in,Optima,Optimat
außerhalb,bissl,kleines,biss,biss
usw,Jacuzzi-Düsen,mit,Jacuzzi-Düsen,Jazzig-Düsen
-,usw,Jacuzzi-Düsen,usw.,usw.
eingebrochen,Draufsetzen,sanften,Draufsetzen,Daraufsetzen
von,Naehe,der,Nähe,Nähe
dass,abgesandelt,So,abgewandelt,abgehandelt
ging,Klobesuch,Nach,Klobesuch,Discobesuch
und,ueber,Toilette,über,über
das,ueberschwemmte,und,überschwemmte,überschwemmte
auf,Leintuechern,mit,Leintüchern,Leintüchern
wachsen,pullover,einen,pullover,Pullover
1996,Cristallo,Hotel,Crystals,Kristalloid
-,nix,lieber,nix,Unix
at,foren@derStandard,an,foren@derStandard,Referendarsforen
stn,at,foren@derStandard,at,AT
-,stn,at,Sten,Dtn
im,ameisen,mal,Ameisen,Ameisen
aber,zimmer,im,Zimmer,zimmer
der,gecko,einen,gecko,Gecko
aus,unterkünfte,gute,Unterkünfte,Unterkünfte
getroffen,Mörserranate,einer,Mörserranate,Mörsergranate
in,Rasheed,Al,Rasheed,Rastede
wird,Portionspackungen,in,Portionspackungen,Portionierungen
ist,'Ablaufdatum',Das,'Ablaufdatum',Talfestdatum
nach,posts,eigenen,posts,Mosts
stricherl-anzahl,pos/neg,nach,Pos,Posener
sortieren,stricherl-anzahl,pos/neg,stricheln,stricheln-anzahl
es,posts,welche,posts,Mosts
geschaft,maximum/minumum,absolutes,Maximum,Maximumsfunktion
haben,geschaft,maximum/minumum,Geschäft,geschafft
schon,gabs,da,gabs,gab
der,artikel,einen,Artikel,Artikel
war,rekordhalter,negativ,Rekordhalter,Rekordhalter
glaub,abstand,mit,abstand,Abstand
bezgl,posting,ein,posting,Postieren
der,bezgl,posting,bezgl.,bezog
-,simpsons,der,Simpsons,Simplons
at/plink/3106877,//derstandard,http,der Standard,Rassestandard
-,_pid=7993448#pid7993448,at/plink/3106877,päd.,_pid=7993448#pid7993448
geht,link,der,link,Link
-,nit,geht,nit,niet
at/3106877/Die-Simpsons-mit-Schoenheitsfehlern#posting-7993448,//derstandard,http,der Standard,Rassestandard
-,at/3106877/Die-Simpsons-mit-Schoenheitsfehlern#posting-7993448,//derstandard,atz,at/3106877/Die-Simpsons-mit-Schoenheitsfehlern#posting-7993448
dann,Habs,Archäologe,Habs,Hans
orientiert,andersweitig,schnell,anderweitig,anderweitig
by,*grün*,gegangen,*grün*,grün
the,by,*grün*,by,Baby
way,the,by,the,ehe
-,way,the,way,was
-,Sandler,-,Sandler,Wandler
-,*hach*,lesen,*hach*,Schach
Astronautin,dannach,werden,danach,danach
und,Viehboeck,Franz,Viehböck,Viehbock
Park,Jurassic,und,Jurassisch,Jurassisch
Austronaut,natuerlich,Park,natürlich,natürlich
und,Austronaut,natuerlich,Astronaut,Astronaut
Zusaetzlich,Palaeontologe,und,Paläontologe,Paläontologe
noch,Zusaetzlich,Palaeontologe,Zusätzlich,Zusätzlich
Heute,Spieleerfinder,noch,Spieleerfinder,Spielerfinder
-,dafuer,Geld,dafür,dafür
sitz,heut,ersetzt,heut,heute
ich,sitz,heut,sitz,Sitz
-,*schnief*,werden,*schnief*,schniefe
Biologe,Feldforschender,-,Feldforschender,Feld forschender
oder,Cobra,zur,CORBA,Kobra
nicht,Liveticker,mein,Liveticker,Verklicker
Frauen,Naja,=,Naja,Nama
muss,hackeln,Tag,hakeln,hacken
Matura,inkl,vorbei,inkl.,inkl.
hackeln,nix,fast,nix,Unix
Das,hackeln,nix,hakeln,hacken
-,etc,haben,etc.,et
ich,daß,-,dass,dass
-,müßte,arbeiten,müsste,müsste
-,Legomodellingenieur,-,Legomodellingenieur,Modellierungsfehler
Den,Radiologiesparte,der,Radiologie sparte,Radiologie sparte
Nur,raushängen,Autos,raushängen,aushängen
als,förster,-,Förster,Förster
dieser,daß,erfuhr,dass,dass
erfordert,beruf,dieser,beruf,Beruf
im,wunsch,der,Wunsch,Wunsch
in,nu,im,nu,neu
gehe/radle,wald,den,Wald,Wald
ich,gehe/radle,wald,gehe/radle,Geradlage
-,förstern,den,Förstern,Förstern
-,Kostner,Kevin,Kostner,Kästner
at,foren@derstandard,an,foren@derstandard,Referendarsforen
-,at,foren@derstandard,at,AT
feed,RSS,per,RSS,RISS
-,feed,RSS,feed,Fee
-,arbeitslosigkeit,gleichzeitiger,Arbeitslosigkeit,Arbeitslosigkeit
werden,zeitlang,eine,Zeitlang,Zeitlang
es,Aaaber,können,Araber,Araber
-,Tonfigur,weibliche,Ton Figur,Tonfigur
spricht,Prof,-,Prof,Profi
über,minuten,30,Minuten,Minuten
der,länge,gesamt,länge,Länge
Dann,Fundtiefe,und,Fundtiefe,Fund tiefe
Priesterin,Fruchbarkeitsgöttin,-,Fruchbarkeitsgöttin,Fruchtbarkeitsgöttin
beschäftigen,sowas,mit,so was,Iowas
Indiana,nix,Also,nix,Unix
Hintergrund,weissen,den,Weißen,weißen
S4,Galaxy,Text,Galaxy,Galaxie
mit,S4,Galaxy,S4,Sh
-,Postman,zwar,Postman,Post man
in,Sowas,-,Sodas,Sodas
dabei,befrüchtet,schon,befruchtet,befürchtet
oder,Schmetterlingszüchterin,zu,Schmetterlingszüchterin,Schmetterlingsforscherin
auf,affenhirn,dann,Affen Hirn,Affenhirn
serviert,eis,auf,Eis,sie
rausgerissen,herz,das,herz,Herz
hat,rausgerissen,herz,rausgerissen,ausgerissen
ich,dacht,hat,dacht,sacht
doch,vl,mir,vgl.,al
geantwortet,Küsser,Oma,Kesser,Küsse
mit,stehts,wie,stehst,stets
Wesen,interdimensionale,Beispiel,interdimensionale,vierdimensionale
Im,brrrr,Kristallschädel,Burr,bizarr
genannt,Fiona,auch,Fiona,Fiktional
at,mobil@derstandard,an,mobil@derstandard,Kalibrierstandard
schicken,at,mobil@derstandard,at,AT
des,Schriftgrösse,Die,Schrittgröße,Schriftgröße
-,A+,dem,A+,Aa
ändern,Top-Toolbar,der,Top-Toolbar,Top-Tool bar
^^,Runnings,Cool,Brünings,Rundging
BP,naja,Bundespräsident,naja,Maja
das,Enterprise,die,Enterprise,Ernteprise
sieht,der/die,und,der/die,dezidiere
Trader,Forex,wollte,Foren,Foren
bei,Trader,Forex,Trader,Trauer
muss,Sorry,werden,Sorry,Story
eilig,habens,dort,Habens,Habens
zu,kindern,mit,kindern,Kindern
bis,arveite,ich,arbeite,arbeite
ist,Widescreen,Modus,Widescreen,Widerreden
unten,Homebutton,der,Homebutton,Homecomputern
geben,Topic-Scrollleiste,die,Scroll leiste,Topik-Scrollleiste
offense,No,*,No,Not
Aber,offense,No,offense,offenes
Das,grottenhässlich,ist,grottenhässlich,grottenhäßlich
Version,e-paper,die,e-paper,-paper
on,Keep,Test,Keep,Jeep
the,on,Keep,on,in
good,the,on,the,ehe
work,good,the,good,Godot
-,work,good,work,York
der,Grisu,Jahre,Graus,Ugrisch
König,Dr,beim,Dr.,Dur
wechseln,Nautikstudium,ein,Nautik Studium,Nautikstudent
bisher,Seediensttauglichkeitszeugnis,kein,Seediensttauglichkeitszeugnis,Untauglichkeitskriterien
Jetzt,Saunawachlerin,aber,Saunawachlerin,Saunawachserin
-,derStandard,auf,der Standard,der Standard
Meine,Anthropophag,-,Anthropophage,Anthropophage
-,Fussballticker,funktionsfähige,Fußball Ticker,Fußballerischer
in,hängs,Ich,Hangs,hängst
Aber,gezeichnet^^,dahin,gezeichnet^^,gezeichnet
-,LOL,nicht,LOL,LOS
der,Sorry,---,Sorry,Story
und,Amaturbrett,am,Amaturbrett,Amateurbrett
wo,irg,klickt,arg,birg
Gerät,KitKat,4,KitKat,Kita
Dr,Now,-,Not,New
Ernest,Dr,Now,Dr.,Dur
Menville,Ernest,Dr,Ernest,Ernst
always,Menville,Ernest,Melville,Villen
felt,always,Menville,Alays,Cutaways
life,felt,always,fehlt,fehlt
begins,life,felt,lief,liefe
at,begins,life,Begins,beginn
50,at,begins,atz,AT
youtube,//www,http,WWW,//www
com/watch,youtube,//www,YouTube,YouTube
v=V-MlRzu7QAY,com/watch,youtube,vom,Comanche
Ich,@Artikel,weg,@Artikel,Artikel
geworden,isses,Was,Issas,Risses
jpg,com/i/cthwbt4c3789voc4j,//666kb,vom,com/i/cthwbt4c3789voc4j
Aber,jpg,com/i/cthwbt4c3789voc4j,jogg,Apg
fasziniert,Magie/Alchemie,von,Magie/Alchemie,Magnetochemie
herauskristallisiert,#1,Interessensgebiet,#1,#
-,community,zur,community,Kommunität
jetzt,OK,-,OK,LOK
lang,Lahre,145,Lahrer,Lahr
autodesigner,od,Terrorist,öd,Iod
hat,autodesigner,od,Auto Designer,Autodesigner
design,richtung,in,Richtung,Richtung
entwickelt,design,richtung,design,Design
6,ca,Mit,ca.,ca.
oder,hollywoodstar,6,Hollywood Star,Hollywoodstar
würg,schlagersänger,oder,Schlagersänger,Schlagersänger
8,ca,mit,ca.,ca.
ichs,wußte,8,wusste,wusste
besser,ichs,wußte,Ichs,ich
-,berufswunsch,einen,Berufs wünsch,Berufswunsch
auf,angfressen,schon,angefressen,anfressen
wikimedia,//upload,http,Upload,Upload
org/wikipedia/commons/thumb/4/49/PlayStation-DualShock,wikimedia,//upload,Wikipedia,Wikimedia
jpg/1280px-PlayStation-DualShock,org/wikipedia/commons/thumb/4/49/PlayStation-DualShock,wikimedia,org.,org/wikipedia/commons/thumb/4/49/PlayStation-DualShock
Ich,jpg,jpg/1280px-PlayStation-DualShock,jpg,Apg
der,Toolbar,unteren,Toolbar,Tool bar
-,Poser,Linker,Poser,Pose
in,millionärin,-,Millionärin,Millionärin
klamotte,schilling,in,schilling,Schilling
aus,klamotte,schilling,Klamotte,Klamotte
bin,autobus,knallroten,autobus,Autobus
dass,draufgekommen,spät,draufgekommen,drauf gekommen
-,handel,berufe,Handel,handel
berühmt,werd,und,werde,werd
Und,rumflattern,Nacht,rumflattern,umflattern
Städte,SeaQuest,alle,Sequester,Seequast
wäre,Sparziergeher,und,Sparziergeher,Sparzierseher
ich,Soabald,-,Sobald,Sobald
erscheint,posten,zum,posten,Posten
Store,Play,dem,Play,Pley
-->,Store,Play,Store,Sorte
-,STand,aktuellen,Stand,Stand
wenn,gemeinsamkeiten,immer,Gemeinsamkeiten,Gemeinsamkeiten
sehe,Freundesbüchern,-,Freundesbüchern,Freundespflicht
Hab,ineressiert,nicht,interessiert,interessiert
gemacht,HTL,dann,HTL,HL
Die,bedeudet,Eltern,bedeutet,bedeutet
froh,jedesmal,ich,jedes Mal,jedes mal
auf,engineer,-,Engineering,Reengineering
nun,raumschiff,einem,Raumschiff,Raumschiff
administrator,system,ich,System,System
in,administrator,system,Administrator,Administrator
nicht,konzernen,weltweiten,Konzernen,Konzernen
mich,koennte,daran,könnte,könnte
entwicklung,fuer,auch,für,für
in,entwicklung,fuer,Entwicklung,Entwicklung
oder,cybernetic,in,Kybernetik,kybernetisch
sehen,lebensformen,automatischer,Lebensformen,Lebensformen
steht,staffelei,eine,Staffelei,Staffelei
küsst,muse,die,Muse,Muse
verseucht,Lechner,Auguste,Lechner,Rechner
Mark,stronaut,u,Astronaut,Astronaut
im,Brandis,Mark,Brandis,Brands
doch,70ern,den,70ern,Lernern
können,physik,mit,Physik,Physik
und,physik,ist,Physik,Physik
-,chemie,und,Chemie,Chemie
geworden,nix,Alles,nix,Unix
schauspieler,musiker,-,Musiker,Musiker
polizist,schauspieler,musiker,Schauspieler,schauspielre
irgendwas,polizist,schauspieler,Polizist,Polizist
bzw,posts,-,posts,Mosts
Konto,bzw,posts,bzw.,bzw.
oder,OMV,der,OMV,VOM
geändert,Stationsvorstand,auf,Stationsvorstand,Sektionsvorstand
anbietet,Wifi,das,Wiki,Wiki
heraus,HTL,dann,HTL,HL
im,Legospielen,ganztägiges,Legospielen,Lego spielen
weil,Palmersfiliale,einer,Palmersfiliale,Pfarrersfamilie
so,Dressen,grünen,Dressen,Dresden
-,Liftboy,*,Lift Boy,Luftboy
Reihe,Civilization,der,Civilization,Zivilisation
kennt,uh,geübt,uh,Kuh
https,Ökolopoly,jemand,Ökolopoly,Ökologe
//www,https,Ökolopoly,https,http
youtube,//www,https,WWW,//www
com/watch,youtube,//www,YouTube,YouTube
v=EsX0FHLCPVE,com/watch,youtube,vom,Comanche
-,Civ,auf,Cave,Div
Earth,Beyond,-,Beyene,Betonend
umsteigen,Earth,Beyond,Earth,Barth
zu,geb,ich,geb.,gen
einen,Warming,Global,Warnung,Warmring
Grant,Dr,1,Dr.,Dur
in,Grant,Dr,Grant,Gran
Park,Jurassic,in,Jurassisch,Jurassisch
Grant,Dr,2,Dr.,Dur
in,Grant,Dr,Grant,Gran
Park,Jurassic,in,Jurassisch,Jurassisch
ich,vergangenheits,liest,Vergangenheit,Vergangenheitsdaten
wolltest,terrorist,nicht,Terrorist,Terrorist
konvertieren,islam,zum,Islam,Islam
Darob,Paläantologe,oder,Paläontologe,Paläontologe
hab,Darob,Paläantologe,Dar ob,Darob
-,Ams-Betreuer,-,Am,Amts-Betreuer
mit,Brandis,Mark,Brandis,Brands
Ibaka,Antoine,mit,Antoine,Antoinette
und,Ibaka,Antoine,Abaka,Akaba
Grischa,Stroganoff,Iwan,Stroganoff,Ganzstoff
Romen,Grischa,Stroganoff,Griesche,Wagrisch
Die,Romen,Grischa,Roman,Rosen
meist,bzw,Abwechselnd,bzw.,bzw.
-,Hobbies,meine,Hobbies,Hobbes
-,Naturwissenschaft/Technik,-,Naturwissenschaft/Technik,Naturwissenschaftstechnik
-,Frühpensionist,Jahre,Frühpensionist,Frühpensionierst
Ritter,Jedi,-,Jedi,Jede
Kinn,Innauers,Toni,Innauers,Nassauers
Richards,Keith,dann,Keith,Keilit
me,start,aber,Start,Start
up,me,start,mea,ms
hab,up,me,um,um
you,and,gehabt,an,ans
know,you,and,Yous,YouTube
it,know,you,Knop,Knox
never,it,know,ist,IT
work,never,it,neuer,nerve
in,work,never,werk,York
tuning,regular,in,Regular,regulär
-,tuning,regular,Tuning,Turing
an,Pensionist,Berufswunsch,Pensionist,Pension ist
hochgeladen,Playstore,den,Playstore,Plastome
sowie,etc,Stabilität,etc.,et
&gt,Android-Versionen,auf,Androide,Android-Versionen
=,&gt,Android-Versionen,gut,ggT
aufgeben,traum,deinen,Traum,Traum
Hagi,Gheorghe,Kind,Gheorghe,Georgshöhe
werden,Hagi,Gheorghe,Hagi,Hai
dann,Totti,Später,Tutti,Tito
Stam,Jaap,dann,Jaap,Japan
-,Stam,Jaap,Stamm,Sam
krieg,Nerd-Punkte,viele,Nord,Nord-Punkte
von,nachlernen,das,nachlernen,nach lernen
-,totschlagargument,ein,Totschlag Argument,Totschlagargument
mit,Möglivhkeit,eine,Möglichkeit,Möglichkeit
Tablet,Android,einem,Androide,Android
die,Tablet,Android,Tablett,Tablett
die,Chrome,in,Chrome,Chrom
-,Enterprise,der,Enterprise,Ernteprise
Hoferbin,entfleuchte,eine,entfeuchte,entfleuchte
Allerdings,Hoferbin,entfleuchte,Hoferben,Hoferbin
Ausbildung,landw,meiner,Land,lande
Viele,umentschieden,Ausbildung,unentschieden,umentschieden
kamen,MitschülerInnen,Viele,Mitschülerinnen,MitschülerInnen
bla,bla,Österreich,blau,blau
bla,bla,bla,blau,blau
nicht,bla,bla,blau,blau
wo,projekte,wieder,Projekte,Projekte
brauchen,fluchtfahrer,gute,flucht Fahrer,Fluchtfahrer
-,referenzen,sie,Referenzen,Referenzen
posten,für's,Danke,fürs,fürs
Das,posten,für's,posten,Posten
wenn,Ausschliessungsgrund,ein,Ausschliessungsgrund,Schließungsgrund
im,nix,-,nix,Unix
ich,prinzip,im,Prinzip,Prinzip
halt,wollts,ich,wollte,wollt
der,Grisu,wieder,Graus,Ugrisch
-,stimmts,Agrar-Förderungen,stimmst,stimmst
aller,antwort,die,Antwort,Antwort
dort,Ui,-,Uni,Uni
Klimperer,Raschler,paar,Raschle,Raschle
werden,Klimperer,Raschler,Klimpere,Klemperer
priorisiert,Windsichtung,einer,Windsichtung,Winddichtung
-,tztz,-,Titz,jetzt
schlimmer,wär,Polizist,wär,wäre
ist,cln,Kollegin,Clan,Clan
Bites-Zitat,Reality,ein,Reality,Realcity
versteckt,Bites-Zitat,Reality,Bytes,Bits-Zitat
pelikan,//www,http,WWW,//www
com/pulse/vfs-public/v2012/store/writing/writing-equipment/eraser/br-80/br-80-eraser,pelikan,//www,Pelikan,Pelikan
jpg,group,com/pulse/vfs-public/v2012/store/writing/writing-equipment/eraser/br-80/br-80-eraser,group,Groupie
-,jpg,group,jpg,Apg
Papst,Ballettänzer,-,Balletttänzer,Balletttänzer
wie,jmy,Kollegin,Jimmy,jmd.
-,Gun,Top,Gun,Gnu
-,button,vorwärts,button,Button
zu,link,-,link,Link
am,postings,zu,postings,Postillion
zum,'zurück,-,'zurück,zurück
link,Artikel',zum,Artikel',Artikel
bei,link,Artikel',link,Link
-,postings,den,postings,Postillion
Oder,SF-Leserin,begeisterte,SF-Leserin,SO-Leserin
-,Pensionist,-,Pensionist,Pension ist
Tut,la,a,la,al
Amun,Anch,Tut,Nach,Aich
gibt,Amun,Anch,Amin,Amun
kommentiert,Trottelberuf,ein,Trottel beruf,Trottelhaft
für,Foundation,der,Foundation,Fundsituation
kindergärtnerin,lebensalter,nach,Lebensalter,Lebensalter
hatte,kindergärtnerin,lebensalter,Kindergärtnerin,Kindergärtnerin
im,lehrerin,liebe,Lehrerin,Lehrerin
hanni,internat,im,Internat,Internat
und,hanni,internat,Hanni,Johanni
zeiten,nanni,und,Nanni,Annan
preispickerl-aufkleberin-beim-konsum,zeiten,nanni,Zeiten,Zeiten
ich,preispickerl-aufkleberin-beim-konsum,zeiten,preispickerl-aufkleberin-beim-konsum,preispolitisch-aufkleberin-beim-konsum
damals,preispistolen,diese,preis Pistolen,Preispistolen
zu,fitnesstrainerin,super,Fitness Trainerin,Fitnesstrainerin
im,skigymnastik,dauernd,Skigymnastik,Skigymnastik
was,pubertät,der,Pubertät,Pubertät
was,studiums,des,Studiums,Studiums
verdienen,geld,man,geld,Geld
personalwesen,bereich,im,Bereich,Bereich
und,personalwesen,bereich,personalwesen,Personalwesen
also,organisation,und,Organisation,Organisation
aus,mischung,eine,Mischung,Mischung
auf,Gibts,-,Gibst,Gifts
wurden,abgenickt,desinteressiert,abgeknickt,abgenickt
war,Polizei/Militärakademie-phase,einer,Polizei/Militärakademie-phase,Polizei-Militärakademie-phase
gehasst,Viehböck,den,Viehböck,Viehböcke
-,Lehrer/in,-,Lehrer/in,Lehrerin
werden,Pensionist,immer,Pensionist,Pension ist
ist,fluchtfahrern,bei,flucht Fahrern,Fluchtfahrern
-,safe-knackern,bei,Safe,Safe-knackern
-,-D,Hypnotiseur,-D,AD
möchte,überfracbten,Programmen,überfrachten,überfrachten
auf,Preispickerl-aufkleberin,-,Preispickerl-aufkleberin,Aufklebeadressen
-,wunsch,anderen,Wunsch,Wunsch
-,kalifen,des,Kalifen,Kalifen
aber,traininert,Nicht-Kitzlig-Sein,trainiert,trainiert
Ich,usw,Rechnungswesen,usw.,usw.
zu,Finanzen/Geld,mit,Finanzen/Geld,Finanzendgeld
glotzen,Kastl,ins,Kästle,Kaste
und,Jagflieger,gesagt,Jagflieger,Jagdflieger
oder,Spitfire,einer,Spitfire,Spitzire
auf,kind,von,kind,Kind
ergreifen,beruf,den,beruf,Beruf
-,feuerwehrmannwerdenphase,will,feuerwehrmannwerdenphase,Fürwahrgehaltenwerden
Wurde,hackln,donnerstags,Hackl,hacken
mit,Naja,Berufswünsche,Naja,Nama
ist,Ballettänzer,-,Balletttänzer,Balletttänzer
ein,hehe,-,hohe,gehe
noch,wochen,paar,Wochen,Wochen
stam,jaap,den,Jaap,Japan
hab,stam,jaap,stamm,samt
überlegt,augenblick,einen,Augenblick,Augenblick
zu,stricherl,rotes,stricheln,stricheln
-,Fußballerfrau,gibt,Fußballerfrau,Fußballerdfrau
eher,büro,wobei,Büro,Büro
der,endpunkt,lustige,Endpunkt,Endpunkt
bauer-soldat-punkrocker,traumkette,der,traumkette,Traumkette
ist,bauer-soldat-punkrocker,traumkette,Punkrock er,Bauer-soldat-punkrocker
work-life,menschen,unter,menschen,Menschen
balance,work-life,menschen,work-life,York-life
und,balance,work-life,balance,Balance
gibts,rss,-,riss,riss
http,gibts,rss,gibst,gibst
at/,//derstandard,http,der Standard,Rassestandard
id=1850853,at/,//derstandard,at/,AT
mit,Kleingärner,zum,Kleingärtner,Kleingärtner
zwar,kind,als,kind,Kind
davon,vorstellung,klare,Vorstellung,Vorstellung
erwartet,beruf,dem,beruf,Beruf
dafür,begründungen,kindliche,Begründungen,Begründungen
zeichne,lineal,dem,lineal,Lineal
war,richtung,die,Richtung,Richtung
innerhalb,leidenschaften,andere,Leidenschaften,Leidenschaften
hinzu,berufsfeldes,meines,berufsfremdes,Berufsfeldes
für,faible,gewisses,Faible,Faible
aber,forschung,für,Forschung,Forschung
mitbringt,beruf,der,beruf,Beruf
ausüben,beruf,anderen,beruf,Beruf
-,schattenseiten,seinen,Schattenseiten,Schattenseiten
mit,Legasteniker,als,Legastheniker,Legastheniker
macht,Spass,was,Spaß,Spaß
war,Gym,dem,Gym,Gysi
träumen,Kind/Jugendlicher,Als,Kind/Jugendlicher,Jugendfreundlicher
unterschiedlich,Alterstufe,nach,Altersstufe,Alter stufe
Matrose,Taka-Tuka-Land,in,Taki,Tara-Tuka-Land
Instrumentenbauer,Pinguinforscher,Raumschiff,Pinguinforscher,Pinguin forscher
wenn,Hm,Instrumentenbauer,Hm,Häm
weit,gaaanz,Wunsch,ganz,ganz
aber,Raumschiffkapitän,wieder,Raumschiffkapitän,Raumschiffskapitän
Mist,rum,Server,rum,Rum
frei,wochen,12,Wochen,Wochen
könnte,jahr,im,Jahr,Jahr
ein,gedanke,der,Gedanke,Gedanke
aufdrängen,bisserl,ein,bisserl,Busserl
mich,freu,ich,freu,frei
gefunden,beruf,einen,beruf,Beruf
macht,spaß,dir,spaß,Spaß
oder,Koenig,-,Koenig,König
Kapitaen,spaeter,dann,später,später
