left context,original word,right context,word correction,hun correction
,,,,
vom,bloing-bloing-bloing-ti-tiii,das,~,Bläuling-bloing-bloing-ti-tiii
,,,,
Netscape,vom,bloing-bloing-bloing-ti-tiii,~,vom
,,,,
Navigator,Netscape,vom,~,Netscape
,,,,
Ich,Navigator,Netscape,~,Navigator
,,,,
war,Ich,Navigator,~,Ich
,,,,
total,war,Ich,~,war
,,,,
aufgeregt,total,war,~,total
,,,,
und,aufgeregt,total,~,aufgeregt
,,,,
fand,und,aufgeregt,~,und
,,,,
mich,fand,und,~,fand
,,,,
verbunden,mich,fand,~,mich
,,,,
mit,verbunden,mich,~,verbunden
,,,,
der,mit,verbunden,~,mit
,,,,
ganzen,der,mit,~,der
,,,,
Welt,ganzen,der,~,ganzen
,,,,
-,Welt,ganzen,~,Welt
,,,,
stimmt,Uboot,-,vor dem internet kann ich mich noch ans mupid von der post erinnern hier war ich das erste mal online schätze mal das war mitte der 80iger jahre ein frund von mir hatte dann in den frühen 90iger iahren eine internetverbindung und ich kann mich noch erinneren als er sagte dass er jetzt surfen gehe und ich diesen begriff surfen nur in einem anderen zusammenhang kannte,-boot
,,,,
das,stimmt,Uboot,~,stimmt
,,,,
gab,das,stimmt,~,das
,,,,
es,gab,das,~,gab
,,,,
damals,es,gab,~,es
,,,,
auch,damals,es,~,damals
,,,,
Daran,auch,damals,~,auch
,,,,
merkt,Daran,auch,~,Daran
,,,,
man,merkt,Daran,~,merkt
,,,,
wie,man,merkt,~,man
,,,,
die,wie,man,~,wie
,,,,
Zeit,die,wie,~,die
,,,,
vergeht,Zeit,die,~,Zeit
,,,,
-,vergeht,Zeit,~,vergeht
,,,,
Digne,-,vergeht,~,-
,,,,
die,Digne,-,~,Dinge
,,,,
einmal,die,Digne,~,die
,,,,
total,einmal,die,~,einmal
,,,,
spannend,total,einmal,~,total
,,,,
waren,spannend,total,~,spannend
,,,,
an,waren,spannend,~,waren
,,,,
das,an,waren,~,an
,,,,
denkt,das,an,~,das
,,,,
man,denkt,das,~,denkt
,,,,
noch,man,denkt,~,man
,,,,
nicht,noch,man,~,noch
,,,,
mal,nicht,noch,~,nicht
,,,,
mehr,mal,nicht,~,mal
,,,,
-,mehr,mal,~,mehr
,,,,
jetzt,-,mehr,~,-
,,,,
geh,jetzt,-,~,jetzt
,,,,
ich,geh,jetzt,~,geh
,,,,
nachschauen,ich,geh,~,ich
,,,,
ob,nachschauen,ich,~,nachschauen
,,,,
es,ob,nachschauen,~,ob
,,,,
die,es,ob,~,es
,,,,
Seite,die,es,~,die
,,,,
noch,Seite,die,~,Seite
,,,,
gibt,noch,Seite,~,noch
,,,,
-,gibt,noch,~,gibt
,,,,
/,Bits,-,Hast rausgefunden wie man flüstert,Bits
,,,,
Sekunde,/,Bits,~,/
,,,,
per,Sekunde,/,~,Sekunde
,,,,
Akustikkoppler,per,Sekunde,~,per
,,,,
brachten,Akustikkoppler,per,~,Akustikkoppler
,,,,
mich,brachten,Akustikkoppler,~,brachten
,,,,
über,mich,brachten,~,mich
,,,,
Datex-P,über,mich,~,über
,,,,
ins,Datex-P,über,~,Datex-P
,,,,
Arpa-Net,ins,Datex-P,~,ins
,,,,
und,Arpa-Net,ins,~,Urpaar-Net
,,,,
ins,und,Arpa-Net,~,und
,,,,
Earn,ins,und,~,ins
,,,,
ab,Earn,ins,~,Erna
,,,,
3/1979,ab,Earn,~,ab
,,,,
Da,3/1979,ab,~,3/1979
,,,,
konnte,Da,3/1979,~,Da
,,,,
man,konnte,Da,~,konnte
,,,,
jeden,man,konnte,~,man
,,,,
einzelne,jeden,man,~,jeden
,,,,
Buchstaben,einzelne,jeden,~,einzelne
,,,,
heruntertrödeln,Buchstaben,einzelne,~,Buchstaben
,,,,
sehen,heruntertrödeln,Buchstaben,~,heruntertrudeln
,,,,
Die,sehen,heruntertrödeln,~,sehen
,,,,
Sensation,Die,sehen,~,Die
,,,,
war,Sensation,Die,~,Sensation
,,,,
von,war,Sensation,~,war
,,,,
Wien,von,war,~,von
,,,,
aus,Wien,von,~,Wien
,,,,
auf,aus,Wien,~,aus
,,,,
einem,auf,aus,~,auf
,,,,
Rechner,einem,auf,~,einem
,,,,
in,Rechner,einem,~,Rechner
,,,,
Chicago,in,Rechner,~,in
,,,,
zu,Chicago,in,~,Chicago
,,,,
arbeiten,zu,Chicago,~,zu
,,,,
uns,arbeiten,zu,~,arbeiten
,,,,
das,uns,arbeiten,~,uns
,,,,
auch,das,uns,~,das
,,,,
zu,auch,das,~,auch
,,,,
wissen,zu,auch,~,zu
,,,,
Gopher,wissen,zu,~,wissen
,,,,
zunächst,Gopher,wissen,~,Gocher
,,,,
und,zunächst,Gopher,~,zunächst
,,,,
dann,und,zunächst,~,und
,,,,
irgendwann,dann,und,~,dann
,,,,
Mosaik,irgendwann,dann,~,irgendwann
,,,,
waren,Mosaik,irgendwann,~,Mosaik
,,,,
die,waren,Mosaik,~,waren
,,,,
Navigationshilfen,die,waren,~,die
,,,,
Als,Navigationshilfen,die,~,Navigationshilfen
,,,,
dann,Als,Navigationshilfen,~,Als
,,,,
kommerzielle,dann,Als,~,dann
,,,,
intakte,kommerzielle,dann,~,kommerzielle
,,,,
Inhalte,intakte,kommerzielle,~,intakte
,,,,
auftauchten,Inhalte,intakte,~,Inhalte
,,,,
war,auftauchten,Inhalte,~,auftauchten
,,,,
Schluss,war,auftauchten,~,war
,,,,
mit,Schluss,war,~,Schluss
,,,,
lustig,mit,Schluss,~,mit
,,,,
-,lustig,mit,~,lustig
,,,,
war,Das,-,Ich hab meinen älternen Bruder auf eine BerufsInformationsmesse begleitet Dort war auch die Salzburg AG mit ein paar Computern und Internetzugang Kann mich noch genau an meine erste Website erinnern die ich angesteuert habe lego com Ein paar Monate später hatten wir dann ein 56k Modem ich kann mich leider nur nicht mehr an das genaue Jahr erinnern An was ich mich aber noch erinnern kann war als damals Jet2Web rauskam und es total überlastet war Und als ich mir die Rollercoaster Tycoon Demo runterladen wollte Hatte 14mb es wurde immer noch zeitlich abgerechnet und ich hatte dann Angst dass es zuviel kostet und hab bei 10mb abgebrochen Habs dann noch 2mal probiert und war wieder zu ängstlich Also 30mb für nix runtergeladen,Das
,,,,
damals,war,Das,~,war
,,,,
aber,damals,war,~,damals
,,,,
auch,aber,damals,~,aber
,,,,
die,auch,aber,~,auch
,,,,
Zeit,die,auch,~,die
,,,,
der,Zeit,die,~,Zeit
,,,,
Chats,der,Zeit,~,der
,,,,
Da,Chats,der,~,Chats
,,,,
müssen,Da,Chats,~,Da
,,,,
Sie,müssen,Da,~,müssen
,,,,
nichts,Sie,müssen,~,Sie
,,,,
ZUGEBEN,nichts,Sie,~,nichts
,,,,
es,ZUGEBEN,nichts,~,ZUGEBEN
,,,,
war,es,ZUGEBEN,~,es
,,,,
wohl,war,es,~,war
,,,,
jeder,wohl,war,~,wohl
,,,,
in,jeder,wohl,~,jeder
,,,,
irgendeinem,in,jeder,~,in
,,,,
Chatroom,irgendeinem,in,~,irgendeinem
,,,,
Das,Chatroom,irgendeinem,~,Chatroom
,,,,
war,Das,Chatroom,~,Das
,,,,
modern,war,Das,~,war
,,,,
in,modern,war,~,modern
,,,,
den,in,modern,~,in
,,,,
1990ern,den,in,~,den
,,,,
-,1990ern,den,~,1990ern
,,,,
-,-,1990ern,~,-
,,,,
hab,ich,-,Das US Robotics 56K Modem habe ich auch einmal daheim stehen gehabt Eingewählt habe ich mich damit bei Silverserver Der erste Ausflug ins Internet muß 94 oder 95 gewesen sein Ich kann mich aber nicht mehr an die erste angesurfte Website erinnern Burton war aber definitiv eine der ersten Dumpf in Erinnerung sind auch noch die darauf folgenden Experimente auf Geocities,ich
,,,,
erst,hab,ich,~,hab
,,,,
sehr,erst,hab,~,erst
,,,,
spät,sehr,erst,~,sehr
,,,,
herausgefunden,spät,sehr,~,spät
,,,,
wofür,herausgefunden,spät,~,herausgefunden
,,,,
das,wofür,herausgefunden,~,wofür
,,,,
internet,das,wofür,~,das
,,,,
wirklich,internet,das,~,Internet
,,,,
da,wirklich,internet,~,wirklich
,,,,
ist,da,wirklich,~,da
,,,,
-,ist,da,~,ist
,,,,
Waldviertel,Im,-,[alt]+[f4] wurde mir vom Sys-Admin ans Herz gelegt falls ich jemanden am Gang in Richtung meines Büros kommen hören sollte natürlich sofort online barbusige Damen gesucht Dann Schritte gehört Dann [alt]+[f4] gedrückt und mich gleichzeitig Richtung Tür gedreht Die Kollegin kam rein und hat mit mir gute 10 Minuten über irgendein dienstliches Thema geredet ihr Blick in Richtung meines Bildschirmes Dann hab ich mich wieder zurück zum Bildschirm gedreht Und bin mit dem Phänomen der pop up - windows konfrontiert worden Neongelb blinkende eindeutige Aufforderungen und Bilder Alter mir is heiss geworden Kollegin hat sich nie dazu geäussert und es nie wieder erwähnt,Im
,,,,
in,Waldviertel,Im,~,Waldviertel
,,,,
Pöggstall,in,Waldviertel,~,in
,,,,
gab,Pöggstall,in,~,Augiasstall
,,,,
es,gab,Pöggstall,~,gab
,,,,
damals,es,gab,~,es
,,,,
ein,damals,es,~,damals
,,,,
BBS,ein,damals,~,ein
,,,,
das,BBS,ein,~,YBBS
,,,,
zur,das,BBS,~,das
,,,,
internationalen,zur,das,~,zur
,,,,
Kommunikation,internationalen,zur,~,internationalen
,,,,
verwendet,Kommunikation,internationalen,~,Kommunikation
,,,,
werden,verwendet,Kommunikation,~,verwendet
,,,,
konnte,werden,verwendet,~,werden
,,,,
Frag,konnte,werden,~,konnte
,,,,
mich,Frag,konnte,~,Frag
,,,,
was,mich,Frag,~,mich
,,,,
aus,was,mich,~,was
,,,,
den,aus,was,~,aus
,,,,
Betreibern,den,aus,~,den
,,,,
geworden,Betreibern,den,~,Betreibern
,,,,
ist,geworden,Betreibern,~,geworden
,,,,
Hast,ist,geworden,~,ist
,,,,
zufällig,Hast,ist,~,Hast
,,,,
eine,zufällig,Hast,~,zufällig
,,,,
Ahnung,eine,zufällig,~,eine
,,,,
-,Ahnung,eine,~,Ahnung
,,,,
es,Ob,-,https //www youtube com/watch v=zi8VTeDHjcM,Ob
,,,,
das,es,Ob,~,es
,,,,
erste,das,es,~,das
,,,,
Mal,erste,das,~,erste
,,,,
war,Mal,erste,~,Mal
,,,,
weiß,war,Mal,~,war
,,,,
ich,weiß,war,~,weiß
,,,,
nicht,ich,weiß,~,ich
,,,,
genau,nicht,ich,~,nicht
,,,,
jedenfalls,genau,nicht,~,genau
,,,,
habe,jedenfalls,genau,~,jedenfalls
,,,,
ich,habe,jedenfalls,~,habe
,,,,
ziemlich,ich,habe,~,ich
,,,,
zu,ziemlich,ich,~,ziemlich
,,,,
Beginn,zu,ziemlich,~,zu
,,,,
in,Beginn,zu,~,Beginn
,,,,
mein,in,Beginn,~,in
,,,,
Miles&More,mein,in,~,mein
,,,,
Konto,Miles&More,mein,~,Milztumore
,,,,
geschaut,Konto,Miles&More,~,Konto
,,,,
und,geschaut,Konto,~,geschaut
,,,,
mich,und,geschaut,~,und
,,,,
gewundert,mich,und,~,mich
,,,,
dass,gewundert,mich,~,gewundert
,,,,
die,dass,gewundert,~,dass
,,,,
echt,die,dass,~,die
,,,,
Jahre,echt,die,~,echt
,,,,
zurück,Jahre,echt,~,Jahre
,,,,
alle,zurück,Jahre,~,zurück
,,,,
meine,alle,zurück,~,alle
,,,,
Flüge,meine,alle,~,meine
,,,,
noch,Flüge,meine,~,Flüge
,,,,
gespeichert,noch,Flüge,~,noch
,,,,
hatten,gespeichert,noch,~,gespeichert
,,,,
samt,hatten,gespeichert,~,hatten
,,,,
dem,samt,hatten,~,samt
,,,,
Sitzplatz,dem,samt,~,dem
,,,,
Warum,Sitzplatz,dem,~,Sitzplatz
,,,,
und,Warum,Sitzplatz,~,Warum
,,,,
wozu,und,Warum,~,und
,,,,
sollte,wozu,und,~,wozu
,,,,
das,sollte,wozu,~,sollte
,,,,
je,das,sollte,~,das
,,,,
wen,je,das,~,je
,,,,
interessieren,wen,je,~,wen
,,,,
fragte,interessieren,wen,~,interessieren
,,,,
ich,fragte,interessieren,~,fragte
,,,,
mich,ich,fragte,~,ich
,,,,
wirklich,mich,ich,~,mich
,,,,
Wie,wirklich,mich,~,wirklich
,,,,
die,Wie,wirklich,~,Wie
,,,,
Zeit,die,Wie,~,die
,,,,
vergeht,Zeit,die,~,Zeit
,,,,
Heute,vergeht,Zeit,~,vergeht
,,,,
wundert,Heute,vergeht,~,Heute
,,,,
mich,wundert,Heute,~,wundert
,,,,
das,mich,wundert,~,mich
,,,,
schon,das,mich,~,das
,,,,
lange,schon,das,~,schon
,,,,
nicht,lange,schon,~,lange
,,,,
mehr,nicht,lange,~,nicht
,,,,
-,mehr,nicht,~,mehr
,,,,
uns,Bei,-,"1995 praktisch zeitgleich mit der Geburt von derStandard at habe ich eine Seminararbeit zum Thema ""Netiquette"" geschrieben Kein Witz Natürlich wusste ich nicht was das ist Ich habe die Arbeit sogar noch und wenn ihr wollt veröffentliche ich Auszüge daraus",Bei
,,,,
amLand,uns,Bei,~,uns
,,,,
zum,amLand,uns,~,am Land
,,,,
Hof,zum,amLand,~,zum
,,,,
funzt,Hof,zum,~,Hof
,,,,
es,funzt,Hof,~,furzt
,,,,
per,es,funzt,~,es
,,,,
Festnetz,per,es,~,per
,,,,
bis,Festnetz,per,~,Festnetz
,,,,
heute,bis,Festnetz,~,bis
,,,,
nicht,heute,bis,~,heute
,,,,
vernünftig,nicht,heute,~,nicht
,,,,
Dank,vernünftig,nicht,~,vernünftig
,,,,
Mobilfunk,Dank,vernünftig,~,Dank
,,,,
ist,Mobilfunk,Dank,~,Mobilfunk
,,,,
es,ist,Mobilfunk,~,ist
,,,,
heute,es,ist,~,es
,,,,
halbwegs,heute,es,~,heute
,,,,
akzeptabel,halbwegs,heute,~,halbwegs
,,,,
Meine,akzeptabel,halbwegs,~,akzeptabel
,,,,
erste,Meine,akzeptabel,~,Meine
,,,,
Erinnerung,erste,Meine,~,erste
,,,,
die,Erinnerung,erste,~,Erinnerung
,,,,
ich,die,Erinnerung,~,die
,,,,
habe,ich,die,~,ich
,,,,
war,habe,ich,~,habe
,,,,
wohl,war,habe,~,war
,,,,
2012,wohl,war,~,wohl
,,,,
in,2012,wohl,~,2012
,,,,
der,in,2012,~,in
,,,,
Schule,der,in,~,der
,,,,
Wir,Schule,der,~,Schule
,,,,
sollten,Wir,Schule,~,Wir
,,,,
etwas,sollten,Wir,~,sollten
,,,,
für,etwas,sollten,~,etwas
,,,,
Geschichte,für,etwas,~,für
,,,,
recherchieren,Geschichte,für,~,Geschichte
,,,,
und,recherchieren,Geschichte,~,recherchieren
,,,,
landete,und,recherchieren,~,und
,,,,
auf,landete,und,~,landete
,,,,
Wikipedia,auf,landete,~,auf
,,,,
Mein,Wikipedia,auf,~,Wikipedia
,,,,
Cousin,Mein,Wikipedia,~,Mein
,,,,
allerdings,Cousin,Mein,~,Cousin
,,,,
zeigte,allerdings,Cousin,~,allerdings
,,,,
mir,zeigte,allerdings,~,zeigte
,,,,
sofort,mir,zeigte,~,mir
,,,,
die,sofort,mir,~,sofort
,,,,
Happy,die,sofort,~,die
,,,,
Tree,Happy,die,~,Happy
,,,,
Friends,Tree,Happy,~,Teer
,,,,
Dann,Friends,Tree,~,Friedens
,,,,
war,Dann,Friends,~,Dann
,,,,
es,war,Dann,~,war
,,,,
vorbei,es,war,~,es
,,,,
mit,vorbei,es,~,vorbei
,,,,
der,mit,vorbei,~,mit
,,,,
Schulaufgabe,der,mit,~,der
,,,,
-,Schulaufgabe,der,~,Schulaufgabe
,,,,
wirklich,Ist,-,Bitte bitte -D,Ist
,,,,
ärgerlich,wirklich,Ist,~,wirklich
,,,,
-,ärgerlich,wirklich,~,ärgerlich
,,,,
geh,geh,-,war 1990 also noch vor dem WWW mit BITNET/EARN Komisch nachdem ich das geschrieben habe komme ich mir irgendwie alt vor,geh
,,,,
geh,geh,geh,~,geh
,,,,
V,geh,geh,~,geh
,,,,
90,V,geh,~,V
,,,,
und,90,V,~,90
,,,,
somit,und,90,~,und
,,,,
56k,somit,und,~,somit
,,,,
gab's,56k,somit,~,56k
,,,,
erst,gab's,56k,~,Gabys
,,,,
ENDE,erst,gab's,~,erst
,,,,
der,ENDE,erst,~,ENDE
,,,,
90er,der,ENDE,~,der
,,,,
Und,90er,der,~,90er
,,,,
orf,Und,90er,~,Und
,,,,
at,orf,Und,~,ORF
,,,,
kam,at,orf,~,AT
,,,,
auch,kam,at,~,kam
,,,,
erst,auch,kam,~,auch
,,,,
Ende,erst,auch,~,erst
,,,,
der,Ende,erst,~,Ende
,,,,
90er,der,Ende,~,der
,,,,
-,90er,der,~,90er
,,,,
Nutzung,Exzessive,-,Fremder,Exzessive
,,,,
von,Nutzung,Exzessive,machen,Nutzung
,,,,
<blink>,von,Nutzung,~,von
,,,,
und,<blink>,von,~,blinken
,,,,
animierten,und,<blink>,~,und
,,,,
Gifs,animierten,und,~,animierten
,,,,
die,Gifs,animierten,~,Gigs
,,,,
damaligen,die,Gifs,~,die
,,,,
nicht,damaligen,die,~,damaligen
,,,,
der,nicht,damaligen,~,nicht
,,,,
aktuelle,der,nicht,~,der
,,,,
Hype,aktuelle,der,~,aktuelle
,,,,
hat,Hype,aktuelle,~,Hupe
,,,,
meine,hat,Hype,~,hat
,,,,
Erinnerung,meine,hat,~,meine
,,,,
an,Erinnerung,meine,~,Erinnerung
,,,,
davor,an,Erinnerung,~,an
,,,,
geblitzdingst,davor,an,~,davor
,,,,
-,geblitzdingst,davor,~,angeblitzt
,,,,
war,Ich,-,geht scho,Ich
,,,,
aufgeregt,war,Ich,~,war
,,,,
als,aufgeregt,war,~,aufgeregt
,,,,
ging,als,aufgeregt,~,als
,,,,
es,ging,als,~,ging
,,,,
um,es,ging,~,es
,,,,
das,um,es,~,um
,,,,
erste,das,um,~,das
,,,,
Date,erste,das,~,erste
,,,,
Ist,Date,erste,~,Datei
,,,,
aber,Ist,Date,~,Ist
,,,,
auch,aber,Ist,~,aber
,,,,
gut,auch,aber,~,auch
,,,,
20Jahre,gut,auch,~,gut
,,,,
her,20Jahre,gut,~,Jahre
,,,,
-,her,20Jahre,~,her
,,,,
56k-Modem,Ein,-,Ja bitte das will ich unbedingt lesen -,Ein
,,,,
würde,56k-Modem,Ein,~,moderndem
,,,,
SICHER,würde,56k-Modem,~,würde
,,,,
heute,SICHER,würde,~,SICHER
,,,,
funktionieren,heute,SICHER,~,heute
,,,,
-,funktionieren,heute,~,funktionieren
,,,,
-,einhändig,-,/f Einen Befehl den ich nie vergessen werde,einhändig
,,,,
richtig,So,-,wenn man die Pornos aus dem Internet entfernen würde gebe es nur noch ein paar Sieten auf denen dan gefordert werden würde die Pornos wieder reinzustellen hat ein weiser Arzt gesagt,So
,,,,
ins,richtig,So,~,richtig
,,,,
Internet,ins,richtig,~,ins
,,,,
eingetaucht,Internet,ins,~,Internet
,,,,
bin,eingetaucht,Internet,~,eingetaucht
,,,,
ich,bin,eingetaucht,~,bin
,,,,
ja,ich,bin,~,ich
,,,,
als,ja,ich,~,ja
,,,,
ich,als,ja,~,als
,,,,
Browser-Games,ich,als,~,ich
,,,,
und,Browser-Games,ich,~,Browser-Gams
,,,,
IRC,und,Browser-Games,~,und
,,,,
entdeckt,IRC,und,~,IRC
,,,,
habe,entdeckt,IRC,~,entdeckt
,,,,
Wie,habe,entdeckt,~,habe
,,,,
viel,Wie,habe,~,Wie
,,,,
Zeit,viel,Wie,~,viel
,,,,
für,Zeit,viel,~,Zeit
,,,,
das,für,Zeit,~,für
,,,,
alles,das,für,~,das
,,,,
draufgegangen,alles,das,~,alles
,,,,
ist,draufgegangen,alles,~,drauf gegangen
,,,,
unpackbar,ist,draufgegangen,~,ist
,,,,
Dann,unpackbar,ist,~,unknackbar
,,,,
noch,Dann,unpackbar,~,Dann
,,,,
Napster,noch,Dann,~,noch
,,,,
runterladen,Napster,noch,~,Papstnaher
,,,,
und,runterladen,Napster,~,runter laden
,,,,
20,und,runterladen,~,und
,,,,
Minuten,20,und,~,20
,,,,
auf,Minuten,20,~,Minuten
,,,,
eine,auf,Minuten,~,auf
,,,,
schrammelige,eine,auf,~,eine
,,,,
mp3,schrammelige,eine,~,schrammige
,,,,
warten,mp3,schrammelige,~,MPEG
,,,,
Happy,warten,mp3,~,warten
,,,,
Times,Happy,warten,~,Happy
,,,,
-,Times,Happy,~,Times
,,,,
fad,Muss,-,komisch daran kann ich mich nicht mehr erinnern allerdings daran auf bäume geklettert zu sein und dem nachbar im bauchladen seine eigenen äpfel verkauft zu haben,Muss
,,,,
gewesen,fad,Muss,~,fad
,,,,
sein,gewesen,fad,~,gewesen
,,,,
weil,sein,gewesen,~,sein
,,,,
ich,weil,sein,~,weil
,,,,
die,ich,weil,~,ich
,,,,
Erinnerung,die,ich,~,die
,,,,
total,Erinnerung,die,~,Erinnerung
,,,,
verdrängt,total,Erinnerung,~,total
,,,,
habe,verdrängt,total,~,verdrängt
,,,,
-,habe,verdrängt,~,habe
,,,,
fand,Ich,-,gab leider noch kein youp*** und p***hub,Ich
,,,,
das,fand,Ich,~,fand
,,,,
extren,das,fand,~,das
,,,,
aufregend,extren,das,~,extern
,,,,
als,aufregend,extren,~,aufregend
,,,,
die,als,aufregend,~,als
,,,,
erste,die,als,~,die
,,,,
PPTP-Verbindung,erste,die,~,erste
,,,,
aufgebaut,PPTP-Verbindung,erste,~,PPP-Verbindung
,,,,
wurde,aufgebaut,PPTP-Verbindung,~,aufgebaut
,,,,
-,wurde,aufgebaut,~,wurde
,,,,
und,-,wurde,~,-
,,,,
gleichzeitig,und,-,~,und
,,,,
mehr,gleichzeitig,und,~,gleichzeitig
,,,,
als,mehr,gleichzeitig,~,mehr
,,,,
ein,als,mehr,~,als
,,,,
Zugriff,ein,als,~,ein
,,,,
möglich,Zugriff,ein,~,Zugriff
,,,,
war,möglich,Zugriff,~,möglich
,,,,
im,war,möglich,~,war
,,,,
Gegensatz,im,war,~,im
,,,,
zu,Gegensatz,im,~,Gegensatz
,,,,
den,zu,Gegensatz,~,zu
,,,,
Fidonet-,den,zu,~,den
,,,,
und,Fidonet-,den,~,Idoneität
,,,,
CompuServe-G'schichten,und,Fidonet-,~,und
,,,,
davor,CompuServe-G'schichten,und,~,Computer-G'schichten
,,,,
Absolut,davor,CompuServe-G'schichten,~,davor
,,,,
GEIL,Absolut,davor,~,Absolut
,,,,
dass,GEIL,Absolut,~,GEIL
,,,,
plötzlich,dass,GEIL,~,dass
,,,,
das,plötzlich,dass,~,plötzlich
,,,,
ganze,das,plötzlich,~,das
,,,,
Netzwerk,ganze,das,~,ganze
,,,,
Internetzugang,Netzwerk,ganze,~,Netzwerk
,,,,
hatte,Internetzugang,Netzwerk,~,Internetzugang
,,,,
Das,hatte,Internetzugang,~,hatte
,,,,
war,Das,hatte,~,Das
,,,,
wenn,war,Das,~,war
,,,,
ich,wenn,war,~,wenn
,,,,
mich,ich,wenn,~,ich
,,,,
recht,mich,ich,~,mich
,,,,
erinnere,recht,mich,~,recht
,,,,
über,erinnere,recht,~,erinnere
,,,,
die,über,erinnere,~,über
,,,,
EUnet,die,über,~,die
,,,,
Österreich,EUnet,die,~,Ebnet
,,,,
Ende,Österreich,EUnet,~,Österreich
,,,,
1993,Ende,Österreich,~,Ende
,,,,
oder,1993,Ende,~,1993
,,,,
Anfang,oder,1993,~,oder
,,,,
1994,Anfang,oder,~,Anfang
,,,,
Mit,1994,Anfang,~,1994
,,,,
einer,Mit,1994,~,Mit
,,,,
Linux,einer,Mit,~,einer
,,,,
0,Linux,einer,~,Linux
,,,,
irgendwas-Maschine,0,Linux,~,0
,,,,
als,irgendwas-Maschine,0,~,irgendwas-Maschine
,,,,
Gateway,als,irgendwas-Maschine,~,als
,,,,
-,Gateway,als,~,Gateway
,,,,
War,-,Gateway,~,-
,,,,
schon,War,-,~,War
,,,,
lustig,schon,War,~,schon
,,,,
damals,lustig,schon,~,lustig
,,,,
so,damals,lustig,~,damals
,,,,
yeah,so,damals,~,so
,,,,
guess,yeah,so,~,Yamaha
,,,,
I'm,guess,yeah,~,Guinness
,,,,
a,I'm,guess,~,Ilm
,,,,
digital,a,I'm,~,a
,,,,
native,digital,a,~,digital
,,,,
-,native,digital,~,native
,,,,
kann,Wie,-,Das waren noch Zeiten als man noch per Modem ins Internet ging Da konnte man noch während dem Bildaufbau Wetten abschließen ob das Model einen Bikini anhat oder doch nicht -,Wie
,,,,
ich,kann,Wie,~,kann
,,,,
die,ich,kann,~,ich
,,,,
push,die,ich,~,die
,,,,
Meldungen,push,die,~,pushe
,,,,
deaktivieren,Meldungen,push,~,Meldungen
,,,,
-,deaktivieren,Meldungen,~,deaktivieren
,,,,
Einhandsurfer,Auch,-,ach sie meinen diesen hauptcharoom der war ist grauenhaft hatte der nicht so einen grausligen gelbstich weeeee,Auch
,,,,
-,Einhandsurfer,Auch,~,Einhandsurfer
,,,,
im,1997,-,Ich,1997
,,,,
Informatikraum,im,1997,kenn,im
,,,,
meiner,Informatikraum,im,deutlich,Informatikraum
,,,,
Schule,meiner,Informatikraum,mehr,meiner
,,,,
Altavista,Schule,meiner,Linkshänder,Schule
,,,,
Geocities,Altavista,Schule,die,Altvista
,,,,
ICQ,Geocities,Altavista,aufm,Gestiegenes
,,,,
Chats,ICQ,Geocities,Snowboard,ICQ
,,,,
später,Chats,ICQ,oder,Chats
,,,,
auch,später,Chats,Skateboard,später
,,,,
Uboot,auch,später,Goofy,auch
,,,,
Die,Uboot,auch,stehen,-boot
,,,,
Modem-Phase,Die,Uboot,als,Die
,,,,
hab,Modem-Phase,Die,Regular,Modem-Phase
,,,,
ich,hab,Modem-Phase,Ich,hab
,,,,
zum,ich,hab,selber,ich
,,,,
Glück,zum,ich,auch,zum
,,,,
übersprungen,Glück,zum,und,Glück
,,,,
zuhause,übersprungen,Glück,wenn,übersprungen
,,,,
gabs,zuhause,übersprungen,der,zuhause
,,,,
dann,gabs,zuhause,extrem,gab
,,,,
ab,dann,gabs,fähige,dann
,,,,
1998,ab,dann,Schilehrer,ab
,,,,
oder,1998,ab,das,1998
,,,,
1999,oder,1998,1993,oder
,,,,
Kabel-Internet,1999,oder,auch,1999
,,,,
Dass,Kabel-Internet,1999,kapiert,Kabel-Internet
,,,,
es,Dass,Kabel-Internet,hätte,Dass
,,,,
den,es,Dass,hätte,es
,,,,
Standard,den,es,ich,den
,,,,
auch,Standard,den,wohl,Standard
,,,,
im,auch,Standard,damals,auch
,,,,
Internet,im,auch,gleich,im
,,,,
gibt,Internet,im,Freude,Internet
,,,,
hab,gibt,Internet,am,gibt
,,,,
ich,hab,gibt,Snowboarden,hab
,,,,
erst,ich,hab,gehabt,ich
,,,,
auf,erst,ich,wäre,erst
,,,,
der,auf,erst,mir,auf
,,,,
Uni,der,auf,nicht,der
,,,,
mitbekommen,Uni,der,drei,Uni
,,,,
1999,mitbekommen,Uni,Stunden,mitbekommen
,,,,
oder,1999,mitbekommen,lang,1999
,,,,
2000,oder,1999,nur,oder
,,,,
-,2000,oder,dumm,2000
,,,,
~,~,~,vorgekommen,~
,,,,
~,~,~,und,~
,,,,
~,~,~,nur,~
,,,,
~,~,~,hingefallen,~
,,,,
~,~,~,und,~
,,,,
~,~,~,hätte,~
,,,,
~,~,~,es,~
,,,,
~,~,~,wohl,~
,,,,
~,~,~,damals,~
,,,,
~,~,~,gleich,~
,,,,
~,~,~,gelernt,~
,,,,
~,~,~,und,~
,,,,
~,~,~,nicht,~
,,,,
~,~,~,erst,~
,,,,
~,~,~,mit,~
,,,,
~,~,~,30,~
,,,,
2000,Anfang,-,in ascii-varianten gabs sicher sowas,Anfang
,,,,
dort,2000,Anfang,~,2000
,,,,
meine,dort,2000,~,dort
,,,,
