left context,original word,right context,Match Type,word correction,hun correction,Abkürzung,Eigenname,URL/Email,Englisch,Österreichisch
weit,ausserhalb,parken,1,außerhalb,außerhalb,,,,,
recht,auto-los,aber,2,auto-los,auto- los,,,,,
-,angranteln,viel,5,angrinsten,an granteln,,,,,1
gell,dragomira,-,5,Dragomir,Mandragora,,,,,1
öffentlichen,forum,-,1,Forum,Forum,,,,,
-,Ws,du,2,Was,WCs,,,,,
-,Sparkling,ist,2,Sparkling,Sparklinge,,,,1,
auch,schonmal,kuscheln,1,schon mal,schon mal,,,,,
-,Abbazia,autolos,5,Abazi,Abbaside,,1,,,
Abbazia,autolos,Nicht,5,Auto los,autolog,,,,,
parken,könnens,beim,4,Könnens,Könnens,,,,,
alte,k&k-Städte,und,2,k&k-Städte,Kapstädter,,1,,,
in,Denpasar,Bali,2,Denpasar,Basenpaar,,,,,
die,verruchte,Lage,2,verruchte,verrichte,,,,,
der,Typ/die,Typin,2,Typ/die,Typisiere,,,,,
Typ/die,Typin,der/die,4,Typen,Typen,,1,,,
Typin,der/die,schon,2,der/die,dezidiere,,,,,
die,verantwortung,auf,1,Verantwortung,Verantwortung,,,,,
die,poster,abwälzen,3,poster,Poster,,,,,
meinen,klarnamen,meine,3,klarkamen,Klarnamen,,,,,
meine,adresse,meine,1,Adresse,Adresse,,,,,
meine,geburtsdaten,kriegt,1,Geburtsdaten,Geburtsdaten,,,,,
in,zukunft,politisch,1,Zukunft,Zukunft,,,,,
antihumanen,ökologistischen,fascho-mainstream,2,ökologistischen,ökologischen,,,,,
ökologistischen,fascho-mainstream,angepasst,5,fasch,ASchO-mainstream,,1,,,
Da,Stoascheißerkoarl,D,2,Stoascheißerkoarl,Schließerkontakt,,,,,1
Ist,Anflegeln,das,5,An flegeln,Analegeln,,,,,
Sauvignon,Blanc,an,2,Blanc,Blank,,1,,,
-,Bro,mit,4,Bor,Bor,,1,,,
Menschen,daß,ich,1,dass,dass,,,,,
ein,gaaaanz,ungezogenes,3,Galaanzug,ganz,,,,,
bei,ihm/ihr,nehme,2,ihm/ihr,ihriger,,,,,
die,Postings,aus,3,Hostings,Postings,,,,,
der,wahl,des,1,Wahl,Wahl,,,,,
des,hotels,auf,1,Hotels,Hotels,,,,,
alten,sangriadurchtränken,erinnerungen,5,Sangria durchtränken,durcheinandertränken,,,,,
nicht,engländer,dort,1,Engländer,Engländer,,,,,
dort,raufhandel,in,5,Raufhandel,Taufhandel,,,,,
des,gärtners,in,3,Gärtner,Gärtners,,,,,
zimmer,inclusive,-,1,inklusive,inklusive,,,,,
http,//www,youtube,0,WWW,//www,,,1,,
//www,youtube,com/watch,0,YouTube,YouTube,,,1,,
youtube,com/watch,v=awOPflsg-Rk,0,vom,Comanche,,,1,,
nicht,sekkieren,wir,2,sekkieren,sekretieren,,,,,
einem,Engländerhotel,auf,2,Engländerhotel,Endländerhotel,,,,,
-,KÖnnte,aber,1,Könnte,Könnte,,,,,
Idee,gaaaar,so,5,Giaur,Aargau,,,,,
in,Siegendorf,Burgenland,2,Siegendorf,Seegendorf,,1,,,
nach,Mörbisch,zu,3,Sorbisch,Mörbisch,,1,,,
des,Untergeschoßes,der,3,Untergeschoßes,Untergeschosses,,,,,
seine,Notdurften,verrichtet,2,Notdurften,Not durften,,,,,
deine,postings,ewig,5,postings,Postillion,,,,1,
ewig,speicher,um,5,Speicher,speicher,,,,,
nahe,St,Pölten,5,St,Set,1,,,,
vom,LH,am,2,LH,HL,1,,,,
damalige,frau,nackt,3,frau,Frau,,,,,
kleinen,umtrunk,geladen,1,Umtrunk,Umtrunk,,,,,
über,AirBnB,gemieteten,5,Arben,Airbag,,1,,,
verdutzter,gschaut,hat,2,geschaut,schaut,,,,,
2009,vorgegebens,budget,2,vorgegebenes,vorgegeben,,,,,
vorgegebens,budget,100-200pfund,1,Budget,Budget,,,,,
budget,100-200pfund,im,5,100-200pfund,100-Pfund,,,,,
3,monaten,um,1,Monaten,Monaten,,,,,
einem,user,auf,3,user,User,,,,,
beide,seiten,ich,5,seiten,seiden,,,,,
ist,absicht,-,1,Absicht,Absicht,,,,,
kroatischen,keks,dafür,1,Keks,Keks,,,,,
was,saber,absolut,3,sauber,aber,,,,,
nicht,heisst,dass,1,heißt,heißt,,,,,
die,suppe,zwingend,3,suppe,Suppe,,,,,
in,piräus,angekommen,1,Piräus,Piräus,,1,,,
der,fähre,auf,1,Fähre,Fähre,,,,,
die,lieblingsinsel,zu,3,Lieblings Insel,Lieblingsinsel,,,,,
im,treppenhaus,androgyne,1,Treppenhaus,Treppenhaus,,,,,
androgyne,herrschaften,im,1,Herrschaften,Herrschaften,,,,,
im,hof,viele,1,Hof,Hof,,,,,
viele,tschick,und,1,schick,schick,,,,,
menge,gummerln,in,0,gammeln,grummeln,,,,,
nacht,knabbergeräusche,am,5,knabbergeräusche,Knirschgeräusche,,,,,
fette,echse,danach,1,Echse,Echse,,,,,
30,grad,sechs,3,grad,Grad,,,,,
und,seufzern,erster,1,Seufzern,Seufzern,,,,,
erster,gedanke,braucht,1,Gedanke,Gedanke,,,,,
wer,hilfe,verbandszeug,1,Hilfe,Hilfe,,,,,
hilfe,verbandszeug,erst,1,Verbandszeug,Verbandszeug,,,,,
in,Larnaka,Nach,2,Larkana,Karnak,,1,,,
meiner,Off-shore,Briefkästen,5,sohre,Offshoreanlage,,,,1,
meinem,zugegebenerweise,perfekten,4,zugegeben erweise,zugegeben erweise,,,,,
konnte,Nix,wie,2,Nix,Nixe,,,,,
Dieses,levantische,Geschöpf,3,levitische,levantinische,,,,,
21,Jhdt,angekommen,3,Jhdt.,Jh.,1,,,,
nicht,mißraten,ist,1,missraten,missraten,,,,,
eine,Trollerei,und,5,Tollerei,Hereinrolle,,,,,
die,Schuach,stehst,0,Schach,Schach,,,,,
-,baroli,freundin,0,Bartoli,Paroli,,,,,
derstandard,at-webmaster,hat,0,at-webmaster,AT-webmaster,,,1,,
kann,wenns,in,4,wenn,wenn,,,,,
hoch,Ok,lassma,2,Ok,Oka,,,,,
Ok,lassma,die,4,Plasma,Plasma,,,,,
mein,Kobe,Steak,2,Kobe,Koje,,1,,,
ausdrücklich,Perigord,Trüffel,5,Perigordien,Perigon,,,,,
So,gings,natürlich,5,Gings,ging,,,,,
den,Restaurantmanager,antanzen,2,Restaurantmanager,Restaurantlager,,,,,
entschuldigt,ok,trotzdem,2,ok,Lok,1,,,,
diese,Saftbude,dort,3,Saft Bude,Saftbude,,,,,
die,Escorts,nicht,4,Escort,Escort,,,,1,
Down,Town,San,2,Town,Ton,,,,1,
einem,Hotel/Jugendherberge,unerträglicher,2,Hotel/Jugendherberge,Hotel-Jugendherberge,,,,,
von,Pete,Doherty,2,Pete,Peter,,1,,,
Pete,Doherty,lediglich,2,Doherty,Dorther,,1,,,
//derstandard,at/2000004506993/Frequently-Asked-Questions-zur-Community,_articlePage=11,0,atz,at/2000004506993/Frequently-Asked-Questions-zur-Community,,,1,,
_articlePage=11,cmb,-,0,Combo,cm,,,1,,
tief,dochder,Hass,1,doch der,doch der,,,,,
kein,'autoloses,Opatija',2,'autoloses,-autoloses,,,,,
'autoloses,Opatija',Vor,4,Optima,Optimat,,1,,,
-,Mr,Bean,3,Mir,Mr,1,,,,
Mr,Bean,-,2,Bean,Bea,,1,,,
sich,dark-angel-azrael,und,5,Dark,dar-angel-azrael,,1,,1,
eine,geschichte,-,1,Geschichte,Geschichte,,,,,
selbst,noice,cancelling,5,nie,Choice,,,,1,
noice,cancelling,Kopfhörer,5,canceln,Schelling,,,,1,
ist,hoteltechnisch,eine,2,hoteltechnisch,spieltechnisch,,,,,
dort,Bed,and,5,Bad,Bde,,,,1,
Bed,and,Breakfast,5,an,ans,,,,1,
and,Breakfast,-,2,Breakfast,Break fast,,,,1,
grüne,latzhose,an,1,Latzhose,Latzhose,,,,,
einen,strohut,auf,2,Strohhut,Astrohut,,,,,
eine,isoliermatte,ging,3,isoliermatte,Isoliermatte,,,,,
der,terrasse,kommend,1,Terrasse,Terrasse,,,,,
trockenen,ola,durch,0,Olaf,Lola,,,,,
das,gesicht,meiner,2,Gesicht,gesiecht,,,,,
vergessen,vice,versa,3,voce,vice,,,,,
vice,versa,sie,3,versag,versa,,,,,
//www,regenbogenwald,de/themen/mps/,0,Regenbogen Wald,Regenbogenwald,,,1,,
regenbogenwald,de/themen/mps/,-,0,Themen,Mythenthemen,,,1,,
Bischof,Krenn,gerne,2,Krenn,Kreon,,1,,,
-,Mitterdorf,im,4,Mitterndorf,Mitterndorf,,1,,,
im,Mürztal,-,3,Mürztaler,Mürztal,,1,,,
sofort,heimgeflogen,-,3,heimgeflogen,heim geflogen,,,,,1
-,bisch,du,5,Busch,misch,,,,,1
Isoliermatten,gegoogelt,um,3,gemogelt,gegoogelt,,,,1,
dein,Posting,zu,3,Hosting,Posting,,,,,
Bangkoker,Khao,San,5,Khoo,Khan,,1,,,
San,Road,einquartieren,2,Road,Roda,,,,1,
-,Eivissa,und,5,Elvisse,Eisvisa,,1,,,
und,EngländerInnen,in,1,Engländerinnen,EngländerInnen,,,,,
den,90igern,Ein,2,90igern,Reinigern,,,,,
den,Oli,beim,2,Oli,Eli,,,,,
Black,Sheep,gefragt,5,Sheen,Pushe,,,,1,
den,ausdruck,für,1,Ausdruck,Ausdruck,,,,,
behaarte,männer,nicht,1,Männer,Männer,,,,,
auf,online-standard,zu,5,online-standard,online -standard,,,,,
unerträgliche,schwarz-werbung,voll,0,schwarz-werbung,schwarz -werbung,,,,,
wieder,wegzuklicken,nervt,3,wegzublicken,wegzuklicken,,,,,
eine,funktion,einrichten,1,Funktion,Funktion,,,,,
vierzehntägliches,damenspitzerl,hat,2,damenspitzerl,Pyramidenspitze,,,,,1
lebt,passts,ja,4,passt,passt,,,,,
-,boah,ein,5,bäh,Noah,,1,,,
ein,metro-nom,-,5,norm,-metronom,,,,,
den,70ern,Wir,2,70ern,Lernern,,,,,
Schlafen,>an<gezogen,-,1,>an<gezogen,angezogenen,,,,,
im,pickerten,Glas,2,pickerten,sickerten,,,,,1
dreimal,nächtens,vom,3,Nachtens,nächtens,,,,,
O-Töne,'schudijen,Se,0,schädigen,schuldigen,,,,,
'schudijen,Se,aba,0,Se,See,,,,,
Se,aba,kieken,0,ab,ab,,,,,
aba,kieken,müssn,0,kieken,kicken,,,,,
kieken,müssn,wa,1,müssen,müssen,,,,,
müssn,wa,Abjesoffen,0,was,was,,,,,
wa,Abjesoffen,is,1,Abgesoffen,Abgesoffen,,,,,
noch,kener,aba,2,keiner,jener,,,,,
aba,wat,nisch,5,wate,war,,,,,
wat,nisch,is,0,Nische,misch,,,,,
is,Sin,Se,0,Sin,Sun,,,,,
Se,jenervt,Frau,1,genervt,genervt,,,,,
Frau,Reita,Allet,0,Reite,Rita,,,,,
Reita,Allet,nisch,0,Alle,Allee,,,,,
so,schlümm,Nie,1,schlimm,schlimm,,,,,
Ihrem,All-Inklusiev-Urlaub,in,0,Inklusive,All-Inklusive-Urlaub,,,,,
Dom,Rep,auch,0,Rep,Re,,,,,
dem,Resieveranstalter,den,1,Reiseveranstalter,Reiseveranstalter,,,,,
Rechnung,fuer,2,1,für,für,,,,,
2,Maedles,/,0,Mieles,Marlenes,,,,,
verdeck,de/bilder/vw/vw-golf-1/vw-golf-1-po-totale,jpg,0,Bilder,de/bilder/vw/vw-golf-1/vw-golf-1-po-totale,,,0,,
de/bilder/vw/vw-golf-1/vw-golf-1-po-totale,jpg,-,5,jogg,Apg,,,,,
meinen,posternamen,ändern,5,Poster Namen,-osternamen,,,,,
um,antwort,in,1,Antwort,Antwort,,,,,
in,worten,und,5,worten,worden,,,,,
den,forenregeln,-,3,Foren regeln,Forenregeln,,,,,
irgendein,stinkertes,Hotel,5,stänkerte,Stinktieres,,,,,1
Suppe,heut,weiß,3,heut,heute,,,,,
weiß,ich´s,ja,5,ich´s,ich,,,,,
den,Retourgang,einlegte,2,Retourgang,Retourflug,,,,,
Ich,renn,wie,3,renn,renne,,,,,
wie,narrisch,aufs,1,närrisch,närrisch,,,,,
aufs,Häusl,finde,2,Häusl,Häuslich,,,,,1
vermutete,Lichterschalter,aufgedreht,5,Lichterschalter,Lichterdschalter,,,,,
lachen,muessen,am,1,müssen,müssen,,,,,
-,hilarious,-,5,Hilarys,Solariums,,,,1,
-,Stripclub,Kakadu,2,Stripclub,Stripper,,,,,
von,gschamig,auch,5,schämig,schaumig,,,,,1
späten,80igern,Mit,2,80igern,Reinigern,,,,,
und,Öbb,auf,0,Bob,Böbig,,,,,
auf,Rucksackreise,telefonisch,2,Rucksackreise,Rucksack reise,,,,,
bekommt,Begrüssung,'Ah,1,Begrüßung,Begrüßung,,,,,
Begrüssung,'Ah,Siiee,2,'Ah,sah,,,,,
'Ah,Siiee,sind,3,Siehe,Sie,,,,,
sind,das',und,2,das',das,,,,,
Behandlung,dermassen,unter,1,dermaßen,dermaßen,,,,,
aufgewärmte,Resterln,Danach,5,Restern,Resterlen,,,,,1
nicht,speib,-,0,speit,speie,,,,,
Ein,Löschungsersuchen,nach,2,Löschungsersuchen,Böschungsersuchen,,,,,
dem,DSG,später,2,DSG,DSCHG,1,,,,
-,*kreisch*,-,2,*kreisch*,kreische,,1,,,
nur,abgewohnt,billigst,2,abgewohnt,abgewöhnt,,,,,
eingerichtet,zB,Matratzengestell,5,zu,dB,1,,,,
zB,Matratzengestell,auf,2,Matratzengestell,Matratzenherstellung,,,,,
auf,aufgemauerten,Bett,3,auf gemauerten,aufgemauerten,,,,,
Bett,billigest,Essen,5,billigest,billiges,,,,,
zum,Selberzahlen,kleiner,2,Selberzahlen,Selber zahlen,,,,,
keine,Freizeit/Sportmöglichkeiten,Garniert,2,Freizeit/Sportmöglichkeiten,Freizeit-Sportmöglichkeiten,,,,,
Toskana,Greve,Wir,2,Greve,Greven,,1,,,
einen,Agriturismo,gesucht,2,Agriturismo,Agrotourismus,,1,,,
unsere,Toskanareise,Die,4,Toskana reise,Toskana reise,,,,,
unvergessenem,Urlaubsnächtigungserlebnis,Sind,0,Urlaubsnächtigungserlebnis,Niederlassungserlaubnis,,,,,
-,Düssseldorf,vor,1,Düsseldorf,Düsseldorf,,,,,
-,Rezeptionist,schaut,3,Rezeption ist,Rezeptionist,,,,,
Ich,geb,ihnen,5,geb.,gen,,,,,
auf,Wanzensuche,Langer,2,Wanzensuche,Wanzen suche,,,,,
Restaurant,abgestürtzt,ist,1,abgestürzt,abgestürzt,,,,,
ohne,Instantkaffee,LG,2,Instantkaffee,Instantiieren,,,,,
Instantkaffee,LG,Salem,2,LG,KG,1,,,,
-,Jo,-,2,Jo,Joh,,1,,,
-,Oida,6,0,Oita,Aida,,,,,1
hören,si,grad,3,si,sie,,,,,
völlig,verottete,zimmer,2,verrottete,verortete,,,,,
2,secutity,typen,5,secutity,Utility,,,,1,
secutity,typen,sie,3,typen,Typen,,,,1,
das,zimmermädchen,vermute,1,Zimmermädchen,Zimmermädchen,,,,,
hätte,besuch,von,3,besuch,Besuch,,,,,
tunesischen,aussehens,ich,2,Aussehens,Aussehens,,,,,
im,mädchenpensionat,gelandet,1,Mädchenpensionat,Mädchenpensionat,,,,,
ein,schreiduell,mit,5,schrei Duell,Schreiadler,,,,,
dem,manager,dieser,3,manager,Manager,,,,,
eigenen,sicherheit,-,1,Sicherheit,Sicherheit,,,,,
waren,Tulln,wo,0,Tulln,Nullt,,,,,
recht,liaben,Hotel,2,lieben,laben,,,,,
Dafür,reichts,seitdem,5,reichst,reichst,,,,,
beiden,bella,camera,5,Bella,balle,,,,,
bella,camera,sagt,2,camera,Kamera,,,,1,
meine,Radlfreundin,und,5,Radl Freundin,Radfreundin,,,,,1
sogenanntes,4*-Hotel,im,2,4*-Hotel,Hotelier,,,,,
im,Kühtai,Ähnliches,0,Kathi,Kühnheit,,,,,
in,indien,nie,1,Indien,Indien,,,,,
im,Connaught,in,2,Connaught,Connecticut,,1,,,
Privatunterkünften,siehts,schon,4,siehst,siehst,,,,,
ca,5cm,groß,2,5cm,cm,,,,,
Ameisen,Sweatants,welche,4,Seetangs,Antestats,,,,1,
zu,knappern,anfingen,5,knappern,knapper,,,,,1
bin,nachwievor,jedes,5,nachwievor,nachwiegen,,,,,
neue,firma,personalisierte,3,firma,Firma,,,,,
personalisierte,mail-adressen,verwendet,5,mail-adressen,-mailadressen,,,,,
-,Sowas,passiert,4,Sodas,Sodas,,,,,
Nachhinein,war's,jedenfalls,5,war's,Warnas,,,,,
-,schoene,aussicht,3,schön,schöne,,,,,
schoene,aussicht,jeden,1,Aussicht,Aussicht,,,,,
erdenklichen,komfort,wichtige,1,Komfort,Komfort,,,,,
wichtige,bobo,reisen,0,bobo,bob-,,,,,
zu,koennen,dass,1,können,können,,,,,
der,chef,soll,3,chef,Chef,,,,,
seine,flugmeilen,lieber,3,Flugmehlen,Flugmeilen,,,,,
diesen,nepp,brauch,3,nepp,Nepp,,,,,1
nicht,sposati,sind,5,positiv,sportiv,,,,,1
weiß,*räusper*,außerdem,3,räuspern,räusper,,1,,,
-,ups,ich,2,ups,uns,,1,,,
-,Uups,ich,0,Cups,Stups,,,,,
auch,-p,-,0,-p,-po,,,,,
in,Siegendorf-City,spazieren,2,Siegendorf-City,Seegendorf-City,,1,,,
LKW,vorbeigedonnert,und,3,vorbeigedonnert,vorbei gedonnert,,,,,
in,Bim,Bus,0,Bim,Im,,,,,
-,LBS,Knittelfeld,2,LBS,LAS,1,,,,
LBS,Knittelfeld,-,2,Knittelfeld,Knittel,,1,,,
-,oje,das,0,oje,je,,,,,
als,Dixies,fließendes,2,Dixies,Deixis,,1,,,
kalt,herumgrölende,Betrunkene,2,herumgrölende,herum grölende,,,,,
liebe,Wacken,\m/,2,Wacken,Wecken,,1,,,
weißen,Rössl,-,2,Rössl,Rösser,,,,,1
In,Lambeth,North,2,Lambeth,Lambert,,1,,,
Lambeth,North,da,2,North,Northeim,,,,1,
ausgelegt,Mea,culpa,2,Mea,Met,,1,,,
Mea,culpa,-,2,culpa,Paula,,1,,,
Schwiegermütter,unkaputtbar,-,2,unkaputtbar,unausrottbar,,,,,
schon,Bobo,Na,2,Bobo,Bob,,1,,,
einer,Messeeveranstaltung,war,5,Massenveranstaltung,Messseeveranstaltung,,,,,
no,chance,das,2,chance,Chance,,,,1,
Nebenzimmer,Mega-Party,Um,2,Mega-Party,Bega-Party,,,,,
sind,companeros,aus,2,companeros,Romanescos,,1,,,
aus,Mexico,die,3,Mexico,Mexiko,,,,,
-,tratschn,-,1,tratschen,tratschen,,,,,
James,Court,Hotel,2,Court,Tourt,,,,1,
gut,ist's,-,5,ist's,ist,,,,,
auf,BEgeisterung,stoßen,1,Begeisterung,Begeisterung,,,,,
oft,massivst,ab,3,massivste,massivst,,,,,
bin,daraufgekommen,dass,2,draufgekommen,dar aufgekommen,,,,,
knuspermaus,lol,-,0,lol,los,,,,,
lol,@gacken,-,0,gackern,gackern,,,,,
getan,kurzfassung,reicht,1,Kurzfassung,Kurzfassung,,,,,
einer,1l-Spraydose,Vandal,2,1l-Spraydose,Öl-Spraydose,,1,,,
1l-Spraydose,Vandal,ein,2,Vandal,Vandale,,1,,,
seiner,Müslitheke,nur,2,Müslitheke,Mühseligkeit,,,,,
war,Daham,gehts,5,Dahm,Dahat,,,,,1
schon,guat,-,1,gut,gut,,,,,1
-,classic,sparkling,2,classic,Niclas,,,,1,
classic,sparkling,-,2,sparkling,Sprössling,,,,1,
Ein,bißchen,sollte,1,bisschen,bisschen,,,,,
manche,Posts,nicht,2,Posts,Post,,,,1,
aus,Monarchiezeiten,in,2,Monarchie Zeiten,Monarchiekritischen,,,,,
in,Ostslovakei,-,3,Ostslovakei,Ostslowakei,,,,,
und,rechtsgeschwungen,nach,3,rechtsgeschwungen,rechts geschwungen,,,,,
notdürftig,abgesichter,Es,4,abgesuchter,abgesuchter,,,,,
für,sinnbefreite,Fragen,2,sinnbefreite,steuerbefreite,,,,,
wäre,gefängnis,-,1,Gefängnis,Gefängnis,,,,,
Riesige,Caterpillar,die,2,Caterpillar,Kapillarmuster,,,,1,
aufbrachten,*Kniiiiirsch*,zurücksetzten,0,*Kniiiiirsch*,Knirschgeräusch,,,,,
zurücksetzten,*Pieeeep*,*Pieeeep*,0,Piere,*Pieeeep*,,,,,
Pass,runterbremsten,Motorstaubremse,3,runterbremsten,runter bremsten,,,,,
runterbremsten,Motorstaubremse,*poffpoffpoffpoff,2,Motorstaubremse,Motorstaubremise,,,,,
Motorstaubremse,*poffpoffpoffpoff,*,0,*poffpoffpoffpoff,Pockenimpfstoff,,,,,
lautstark,*vroooom,*,0,Voodoo,Chatroom,,,,,
wieder,abrückten,Egal,2,abrückten,anrückten,,,,,
war,20Uhr,wir,2,20Uhr,Uhr,,,,,
weiter,*knirsch*,*pieep*,0,*knirsch*,knirsch,,,,,
*knirsch*,*pieep*,*pieep*,0,piepe,*pieep*,,,,,
*pieep*,*poffpoff*,*vrooom*,0,*poffpoff*,offenporig,,,,,
*poffpoff*,*vrooom*,Dann,0,vom,*vrooom*,,,,,
essen,Bettfertig,mache,2,Bettfertig,Bett fertig,,,,,
ist,Moab,und,0,Moab,Mob,,,,,
und,Arches,NP,0,Arches,Arche,,,,,
Arches,NP,großartig,2,NP,KP,1,,,,
online,sni,-,0,sie,ins,,,,,
Danach,zähneputzen,und,1,Zähneputzen,Zähneputzen,,,,,
kein,*piiep*,kein,0,piep,*piiep*,,,,,
am,auschecken,während,2,auschecken,aushecken,,,,,
so,hochprioritär,dass,3,hochprioritär,hoch prioritär,,,,,
Wort,gefühltermaßen,fehlt,4,gefühlt ermaßen,gefühlt ermaßen,,,,,
Ich,habs,nicht,5,Habes,hab,,,,,
15,Euro/Nacht,und,2,Euro/Nacht,Euro-Nacht,,,,,
wirklichen,Wunzfenster,Um,5,Wunzfenster,Wundfenster,,,,,1
als,Back-Up-Quartier,Ohne,2,Back-Up-Quartier,Back-Ur-Quartier,,,,,
beim,Frühstuck,noch,5,Frühstuck,Frühstick,,,,,
Laune,Navifahrten,sind,5,Anfahrten,Nazifahrten,,,,,
verpönt,Verklescher,erwünscht,5,Vergleicher,Verschacher,,,,,1
die,Ramsau,-,3,Ramsauer,Ramsau,,1,,,
Chateau,Lafite,Rothschild,5,Lafitte,Tefilla,,1,,,
Dom,Pérignon,Vintage,4,Perigon,Perigon,,1,,,
Pérignon,Vintage,1998,2,Vintage,Eintage,,1,,,
Schloss,Lebenberg,das,5,Leben Berg,Lebensberg,,1,,,
einer,Anti-Rutschsache,gewesen,2,Anti-Rutschsache,Anti-Rutschsicher,,,,,
im,Winzigbad,max,5,Winzig Bad,Winzig,,,,,
WC,zusamm,abgeblätterter,1,zusammen,zusammen,,,,,
original,abgewohnter,50er-Jahre,2,abgewohnter,abgewöhnter,,,,,
abgewohnter,50er-Jahre,Ausstattung,2,50er-Jahre,Erdenjahre,,,,,
&,vintage,sondern,2,vintage,Eintage,,,,1,
jeweiligen,Etablissments,trotzdem,1,Etablissements,Etablissements,,,,,
glaube,Bäh,-,0,Bäh,Jäh,,,,,
-,studentenjob,als,3,Studenten Job,Studentenjob,,,,,
als,nachtportier,in,1,Nachtportier,Nachtportier,,,,,
einem,innsbrucker,innenstadthotel,1,Innsbrucker,Innsbrucker,,,,,
innsbrucker,innenstadthotel,böhse,3,Innenstadt Hotel,Innenstadthotel,,,,,
innenstadthotel,böhse,onkelz,1,böse,böse,,,,,
böhse,onkelz,-,1,Onkel,Onkel,,,,,
-,konzert,und,1,Konzert,Konzert,,,,,
ein,reisebus,von,1,Reisebus,Reisebus,,,,,
männlichen,bo-fans,aus,0,ob,ob-fans,,,,,
aus,dresden,die,1,Dresden,Dresden,,,,,
stiegen,runtergefallen,ist,1,runtergefallen,runter gefallen,,,,,
nach,bier,verlangt,5,bier,rieb,,,,,
die,wodka-flasche,vom,5,wodka-flasche,-wodkaflasche,,,,,
die,receptions-theke,gestellt,5,receptions-theke,Rezeptionist-theke,,,,,
flüssige,verbrüderung,von,1,Verbrüderung,Verbrüderung,,,,,
von,öst,und,5,öst,ölst,,,,,
am,abend,danach,3,abend,Abend,,,,,
geraden,sätze,rausgebracht,1,Sätze,Sätze,,,,,
eigentlich,menschennäher,zu,2,menschennäher,Menschennäher,,,,,
-,jaja,da,0,jaja,Maja,,,,,
nettes,haus,in,3,haus,Haus,,,,,
in,st,augustin,4,ist,ist,,,,,
st,augustin,dass,1,Augustin,Augustin,,,,,
der,eröffnung,1965,1,Eröffnung,Eröffnung,,,,,
-,Liebe/r,Reizinger,2,Liebe/r,Lieber,,,,,
Liebe/r,Reizinger,es,5,Reisinger,Reizniger,,1,,,
den,Postingnamen,zu,5,Posteingängen,Postsingnamen,,,,,
_articlePage=11,kub,-,0,Kuba,buk,,,,,
Als,Extra-Zuckerl,ist,0,Zucker,Extra-Zucker,,,,,1
den,Palio,wieder,5,Pali,Patio,,1,,,
Fenster,bummfest,zu,5,bummerst,bumsest,,,,,
liebe,Forumsgemeinde,das,2,Forumsgemeinde,Markusgemeinde,,,,,
wieder,aufgetrocknet,und,3,aufgetrocknet,ausgetrocknet,,,,,
ein,B\B,Bed,0,B\B,BOB,,,,,
B\B,Bed,ohne,2,Bed,Bde,,,,1,
am,Campo,für,2,Campo,Camp,,1,,,
gebucht,Apartement,war,1,Appartement,Apartment,,,,,
extrem,durchgelegenen,Bett,2,durchgelegenen,durchgelesenen,,,,,
dem,Schxxxe-Quirl,am,0,Schxxxe-Quirl,Boxerisch-Quirl,,,,,
und,Versärktung,bis,3,Vermarktung,Verstärkung,,,,,
-,Never,change,2,Never,Jever,,,,1,
Never,change,a,2,change,gehangen,,,,1,
a,running,system,2,running,rundging,,,,1,
running,system,D,2,system,System,,,,1,
aber,grosso,modo,5,Grosso,Gros,,1,,,
grosso,modo,Die,5,Mode,Bodo,,1,,,
Städte,heb',ich,3,heb',hebe,,,,,
überall,hinchauffieren,-,1,hin chauffieren,hin chauffieren,,,,,
Piazza,del,Campo,2,del,de,,1,,,
die,Pali,Das,2,Pali,Pauli,,1,,,
-,barcelona,sangria,1,Barcelona,Barcelona,,,,,
barcelona,sangria,und,3,sangria,Sangria,,,,,
das,klo,am,1,Klo,Klo,,,,,
der,illuminierung,auf,1,Illuminierung,Illuminierung,,,,,
der,unterhose,auf,1,Unterhose,Unterhose,,,,,
der,feuerleiter,die,1,Feuerleiter,Feuerleiter,,,,,
die,tür,fällt,1,Tür,Tür,,,,,
der,harndrang,nimmt,1,Harndrang,Harndrang,,,,,
grausame,züge,an,1,Züge,Züge,,,,,
die,plaza,während,5,plaza,Plazet,,,,,
der,notdurft,der,1,Notdurft,Notdurft,,,,,
der,potier,der,5,optier,votier,,,,,
habe,stockwerksweise,gepumpert,2,stockwerksweise,Stockwerksweise,,,,,
stockwerksweise,gepumpert,hat,5,gepimpert,gepumpter,,,,,
ungläubig,d'reingeschaut,-,2,dreingeschaut,hereingeschaut,,,,,
das,wollts,ihr,2,wollte,wollt,,,,,
wochenlang,ungewechselt,Insektensspray,4,umgewechselt,umgewechselt,,,,,
ungewechselt,Insektensspray,unters,3,Insektensspray,Insektenspray,,,,,
Orang,Asli,den,5,Asli,Ali,,1,,,
wir,morgends,auch,1,morgens,morgens,,,,,
mit,Schweizerkrachern,durchs,5,Schweizerkrachern,Schweizerfranken,,1,,,
-,Hong,Kong,2,Hong,Honig,,1,,,
Hong,Kong,vor,2,Kong,Kongo,,1,,,
doch,uebernachten,muessen,1,übernachten,übernachten,,,,,
nur,chong,qing,2,Chong,schon,,1,,,
chong,qing,mansion,2,Qing,sing,,1,,,
qing,mansion,Hab,2,mansion,Manganion,,,,1,
100,HKD,ergattert,2,HKD,HD,1,,,,
Die,tuer,liess,2,Tür,treu,,,,,
